ICD10,Description
T404X3S,"Poisoning by other synthetic narcotics, assault, sequela"
T405X3A,"Poisoning by cocaine, assault, initial encounter"
T405X3A,"Poisoning by cocaine, assault, initial encounter"
T405X3S,"Poisoning by cocaine, assault, sequela"
T405X3S,"Poisoning by cocaine, assault, sequela"
T40603A,"Poisoning by unspecified narcotics, assault, init encntr"
T40603A,"Poisoning by unspecified narcotics, assault, init encntr"
T40603S,"Poisoning by unspecified narcotics, assault, sequela"
T40603S,"Poisoning by unspecified narcotics, assault, sequela"
T40693A,"Poisoning by other narcotics, assault, initial encounter"
T40693A,"Poisoning by other narcotics, assault, initial encounter"
T40693S,"Poisoning by other narcotics, assault, sequela"
T40693S,"Poisoning by other narcotics, assault, sequela"
T407X3A,"Poisoning by cannabis (derivatives), assault, init encntr"
T407X3A,"Poisoning by cannabis (derivatives), assault, init encntr"
T407X3S,"Poisoning by cannabis (derivatives), assault, sequela"
T407X3S,"Poisoning by cannabis (derivatives), assault, sequela"
T408X3A,"Poisoning by lysergide [LSD], assault, initial encounter"
T408X3A,"Poisoning by lysergide [LSD], assault, initial encounter"
T408X3S,"Poisoning by lysergide [LSD], assault, sequela"
T408X3S,"Poisoning by lysergide [LSD], assault, sequela"
T40903A,"Poisoning by unsp psychodysleptics, assault, init encntr"
T40903A,"Poisoning by unsp psychodysleptics, assault, init encntr"
T40903S,"Poisoning by unspecified psychodysleptics, assault, sequela"
T40903S,"Poisoning by unspecified psychodysleptics, assault, sequela"
T40993A,"Poisoning by other psychodysleptics, assault, init encntr"
T40993A,"Poisoning by other psychodysleptics, assault, init encntr"
T40993S,"Poisoning by other psychodysleptics, assault, sequela"
T40993S,"Poisoning by other psychodysleptics, assault, sequela"
T410X3A,"Poisoning by inhaled anesthetics, assault, initial encounter"
T410X3A,"Poisoning by inhaled anesthetics, assault, initial encounter"
T410X3A,"Poisoning by inhaled anesthetics, assault, initial encounter"
T410X3S,"Poisoning by inhaled anesthetics, assault, sequela"
T410X3S,"Poisoning by inhaled anesthetics, assault, sequela"
T411X3A,"Poisoning by intravenous anesthetics, assault, init encntr"
T411X3A,"Poisoning by intravenous anesthetics, assault, init encntr"
T411X3S,"Poisoning by intravenous anesthetics, assault, sequela"
T411X3S,"Poisoning by intravenous anesthetics, assault, sequela"
T41203A,"Poisoning by unsp general anesthetics, assault, init encntr"
T41203A,"Poisoning by unsp general anesthetics, assault, init encntr"
T41203S,"Poisoning by unsp general anesthetics, assault, sequela"
T41203S,"Poisoning by unsp general anesthetics, assault, sequela"
T41293A,"Poisoning by other general anesthetics, assault, init encntr"
T41293A,"Poisoning by other general anesthetics, assault, init encntr"
T41293S,"Poisoning by other general anesthetics, assault, sequela"
T41293S,"Poisoning by other general anesthetics, assault, sequela"
T413X3A,"Poisoning by local anesthetics, assault, initial encounter"
T413X3A,"Poisoning by local anesthetics, assault, initial encounter"
T413X3A,"Poisoning by local anesthetics, assault, initial encounter"
T413X3S,"Poisoning by local anesthetics, assault, sequela"
T413X3S,"Poisoning by local anesthetics, assault, sequela"
T4143XA,"Poisoning by unspecified anesthetic, assault, init encntr"
T4143XA,"Poisoning by unspecified anesthetic, assault, init encntr"
T4143XS,"Poisoning by unspecified anesthetic, assault, sequela"
T4143XS,"Poisoning by unspecified anesthetic, assault, sequela"
T415X3A,"Poisoning by therapeutic gases, assault, initial encounter"
T415X3A,"Poisoning by therapeutic gases, assault, initial encounter"
T415X3S,"Poisoning by therapeutic gases, assault, sequela"
T415X3S,"Poisoning by therapeutic gases, assault, sequela"
T420X3A,"Poisoning by hydantoin derivatives, assault, init encntr"
T420X3A,"Poisoning by hydantoin derivatives, assault, init encntr"
T420X3S,"Poisoning by hydantoin derivatives, assault, sequela"
T420X3S,"Poisoning by hydantoin derivatives, assault, sequela"
T421X3A,"Poisoning by iminostilbenes, assault, initial encounter"
T421X3A,"Poisoning by iminostilbenes, assault, initial encounter"
T421X3S,"Poisoning by iminostilbenes, assault, sequela"
T421X3S,"Poisoning by iminostilbenes, assault, sequela"
T422X3A,"Poisn by succinimides and oxazolidinediones, assault, init"
T422X3A,"Poisn by succinimides and oxazolidinediones, assault, init"
T422X3A,"Poisn by succinimides and oxazolidinediones, assault, init"
T422X3S,"Poisn by succinimides and oxazolidinediones, asslt, sequela"
T422X3S,"Poisn by succinimides and oxazolidinediones, asslt, sequela"
T423X3A,"Poisoning by barbiturates, assault, initial encounter"
T423X3A,"Poisoning by barbiturates, assault, initial encounter"
T423X3S,"Poisoning by barbiturates, assault, sequela"
T423X3S,"Poisoning by barbiturates, assault, sequela"
T424X3A,"Poisoning by benzodiazepines, assault, initial encounter"
T424X3A,"Poisoning by benzodiazepines, assault, initial encounter"
T424X3S,"Poisoning by benzodiazepines, assault, sequela"
T424X3S,"Poisoning by benzodiazepines, assault, sequela"
T425X3A,"Poisoning by mixed antiepileptics, assault, init encntr"
T425X3A,"Poisoning by mixed antiepileptics, assault, init encntr"
T425X3S,"Poisoning by mixed antiepileptics, assault, sequela"
T425X3S,"Poisoning by mixed antiepileptics, assault, sequela"
T426X3A,"Poisn by oth antieplptc and sed-hypntc drugs, assault, init"
T426X3A,"Poisn by oth antieplptc and sed-hypntc drugs, assault, init"
T426X3A,"Poisn by oth antieplptc and sed-hypntc drugs, assault, init"
T426X3A,"Poisn by oth antieplptc and sed-hypntc drugs, assault, init"
T426X3A,"Poisn by oth antieplptc and sed-hypntc drugs, assault, init"
T426X3A,"Poisn by oth antieplptc and sed-hypntc drugs, assault, init"
T426X3A,"Poisn by oth antieplptc and sed-hypntc drugs, assault, init"
T426X3A,"Poisn by oth antieplptc and sed-hypntc drugs, assault, init"
T426X3A,"Poisn by oth antieplptc and sed-hypntc drugs, assault, init"
T426X3S,"Poisn by oth antieplptc and sed-hypntc drugs, asslt, sequela"
T426X3S,"Poisn by oth antieplptc and sed-hypntc drugs, asslt, sequela"
T4273XA,"Poisn by unsp antieplptc and sed-hypntc drugs, assault, init"
T4273XA,"Poisn by unsp antieplptc and sed-hypntc drugs, assault, init"
T4273XA,"Poisn by unsp antieplptc and sed-hypntc drugs, assault, init"
T4273XS,"Poisn by unsp antieplptc and sed-hypntc drugs, asslt, sqla"
T4273XS,"Poisn by unsp antieplptc and sed-hypntc drugs, asslt, sqla"
T428X3A,"Poisn by antiparkns drug/centr musc-tone depr, assault, init"
T428X3A,"Poisn by antiparkns drug/centr musc-tone depr, assault, init"
T428X3A,"Poisn by antiparkns drug/centr musc-tone depr, assault, init"
T428X3S,"Poisn by antiparkns drug/centr musc-tone depr, asslt, sqla"
T428X3S,"Poisn by antiparkns drug/centr musc-tone depr, asslt, sqla"
T43013A,"Poisoning by tricyclic antidepressants, assault, init encntr"
T43013A,"Poisoning by tricyclic antidepressants, assault, init encntr"
T43013S,"Poisoning by tricyclic antidepressants, assault, sequela"
T43013S,"Poisoning by tricyclic antidepressants, assault, sequela"
T43023A,"Poisoning by tetracyclic antidepressants, assault, init"
T43023A,"Poisoning by tetracyclic antidepressants, assault, init"
T43023S,"Poisoning by tetracyclic antidepressants, assault, sequela"
T43023S,"Poisoning by tetracyclic antidepressants, assault, sequela"
T431X3A,"Poisoning by MAO inhib antidepressants, assault, init"
T431X3A,"Poisoning by MAO inhib antidepressants, assault, init"
T431X3S,"Poisoning by MAO inhib antidepressants, assault, sequela"
T431X3S,"Poisoning by MAO inhib antidepressants, assault, sequela"
T43203A,"Poisoning by unsp antidepressants, assault, init encntr"
T43203A,"Poisoning by unsp antidepressants, assault, init encntr"
T43203S,"Poisoning by unspecified antidepressants, assault, sequela"
T43203S,"Poisoning by unspecified antidepressants, assault, sequela"
T43213A,"Poisn by slctv seroton/norepineph reup inhibtr, asslt, init"
T43213A,"Poisn by slctv seroton/norepineph reup inhibtr, asslt, init"
T43213S,"Poisn by slctv seroton/norepineph reup inhibtr, asslt, sqla"
T43213S,"Poisn by slctv seroton/norepineph reup inhibtr, asslt, sqla"
T43223A,"Poisn by selective serotonin reuptake inhibtr, assault, init"
T43223A,"Poisn by selective serotonin reuptake inhibtr, assault, init"
T43223S,"Poisn by slctv serotonin reuptake inhibtr, assault, sequela"
T43223S,"Poisn by slctv serotonin reuptake inhibtr, assault, sequela"
T43293A,"Poisoning by other antidepressants, assault, init encntr"
T43293A,"Poisoning by other antidepressants, assault, init encntr"
T43293S,"Poisoning by other antidepressants, assault, sequela"
T43293S,"Poisoning by other antidepressants, assault, sequela"
T433X3A,"Poisoning by phenothiaz antipsychot/neurolept, assault, init"
T433X3A,"Poisoning by phenothiaz antipsychot/neurolept, assault, init"
T433X3S,"Poisn by phenothiaz antipsychot/neurolept, assault, sequela"
T433X3S,"Poisn by phenothiaz antipsychot/neurolept, assault, sequela"
T434X3A,"Poisoning by butyrophen/thiothixen neuroleptc, assault, init"
T434X3A,"Poisoning by butyrophen/thiothixen neuroleptc, assault, init"
T434X3S,"Poisn by butyrophen/thiothixen neuroleptc, assault, sequela"
T434X3S,"Poisn by butyrophen/thiothixen neuroleptc, assault, sequela"
T43503A,"Poisoning by unsp antipsychot/neurolept, assault, init"
T43503A,"Poisoning by unsp antipsychot/neurolept, assault, init"
T43503S,"Poisoning by unsp antipsychot/neurolept, assault, sequela"
T43503S,"Poisoning by unsp antipsychot/neurolept, assault, sequela"
T43593A,"Poisoning by oth antipsychot/neurolept, assault, init"
T43593A,"Poisoning by oth antipsychot/neurolept, assault, init"
T43593S,"Poisoning by oth antipsychot/neurolept, assault, sequela"
T43593S,"Poisoning by oth antipsychot/neurolept, assault, sequela"
T43603A,"Poisoning by unsp psychostimulants, assault, init encntr"
T43603A,"Poisoning by unsp psychostimulants, assault, init encntr"
T43603S,"Poisoning by unspecified psychostimulants, assault, sequela"
T43603S,"Poisoning by unspecified psychostimulants, assault, sequela"
T43613A,"Poisoning by caffeine, assault, initial encounter"
T43613A,"Poisoning by caffeine, assault, initial encounter"
T43613S,"Poisoning by caffeine, assault, sequela"
T43613S,"Poisoning by caffeine, assault, sequela"
T43623A,"Poisoning by amphetamines, assault, initial encounter"
T43623A,"Poisoning by amphetamines, assault, initial encounter"
T43623S,"Poisoning by amphetamines, assault, sequela"
T43623S,"Poisoning by amphetamines, assault, sequela"
T43633A,"Poisoning by methylphenidate, assault, initial encounter"
T43633A,"Poisoning by methylphenidate, assault, initial encounter"
T43633S,"Poisoning by methylphenidate, assault, sequela"
T43633S,"Poisoning by methylphenidate, assault, sequela"
T43693A,"Poisoning by other psychostimulants, assault, init encntr"
T43693A,"Poisoning by other psychostimulants, assault, init encntr"
T43693S,"Poisoning by other psychostimulants, assault, sequela"
T43693S,"Poisoning by other psychostimulants, assault, sequela"
T438X3A,"Poisoning by other psychotropic drugs, assault, init encntr"
